1568419200000 10344.13000000 10354.94000000 10342.63000000 10352.59000000 77.52400500 1568419259999 802349.22929441 358 71.15680400 736457.96202152 0
1568419260000 10352.59000000 10354.71000000 10336.06000000 10337.36000000 30.31553200 1568419319999 313633.08145740 293 16.07666500 166295.03231896 0
1568419320000 10338.82000000 10344.04000000 10335.62000000 10340.31000000 12.97685400 1568419379999 134167.62703833 165 8.44449000 87312.66227160 0
1568419380000 10341.08000000 10341.08000000 10332.54000000 10335.98000000 14.13664000 1568419439999 146114.34503278 163 10.67804000 110366.84323460 0
1568419440000 10335.66000000 10335.97000000 10325.62000000 10326.85000000 13.78614900 1568419499999 142448.28139196 221 7.07365500 73096.27155689 0
1568419500000 10325.32000000 10335.98000000 10324.00000000 10331.73000000 26.95680800 1568419559999 278493.38346756 210 23.20764000 239767.59830445 0
1568419560000 10334.16000000 10335.73000000 10329.22000000 10331.15000000 11.80927200 1568419619999 122021.69775054 127 7.59483500 78476.63329475 0
1568419620000 10331.15000000 10345.06000000 10327.26000000 10341.93000000 30.04218100 1568419679999 310531.06125354 254 23.56874300 243623.48328611 0
1568419680000 10341.29000000 10342.90000000 10337.96000000 10340.16000000 24.36826200 1568419739999 252001.53104227 116 17.16124000 177469.52548920 0
1568419740000 10340.04000000 10341.51000000 10338.56000000 10339.05000000 11.69893700 1568419799999 120963.90929154 86 8.84773900 91484.95057111 0
1568419800000 10339.19000000 10339.20000000 10335.20000000 10335.44000000 9.56910800 1568419859999 98926.39605480 89 5.26340300 54414.58199995 0
1568419860000 10335.23000000 10337.11000000 10333.19000000 10334.22000000 10.00535400 1568419919999 103401.10841050 101 5.76711700 59601.40229819 0
1568419920000 10333.75000000 10334.87000000 10320.00000000 10325.15000000 23.52921800 1568419979999 242984.88760763 262 10.38195300 107201.44137990 0
1568419980000 10326.60000000 10333.34000000 10320.13000000 10320.13000000 13.45652400 1568420039999 138953.41024767 141 9.08882500 93853.85418343 0
1568420040000 10320.96000000 10320.98000000 10313.80000000 10315.03000000 16.70488100 1568420099999 172355.86124592 237 5.23046500 53964.36560844 0
1568420100000 10314.58000000 10315.04000000 10311.88000000 10312.42000000 10.37615100 1568420159999 107020.85660564 161 5.65790500 58356.93288793 0
1568420160000 10313.01000000 10314.99000000 10312.02000000 10314.99000000 17.65538100 1568420219999 182093.02141427 126 13.16973400 135831.50090275 0
1568420220000 10314.99000000 10325.82000000 10314.03000000 10321.05000000 34.56638600 1568420279999 356693.37723576 304 30.54632700 315202.98520003 0
1568420280000 10322.89000000 10323.88000000 10318.22000000 10319.73000000 12.52023400 1568420339999 129228.91589785 115 10.51997900 108582.75873407 0
1568420340000 10319.01000000 10328.53000000 10319.01000000 10328.09000000 66.53587200 1568420399999 686803.48696875 228 61.55467600 635388.63450920 0
1568420400000 10328.52000000 10329.02000000 10320.73000000 10322.15000000 36.06508600 1568420459999 372355.23118212 244 28.35420600 292752.28744666 0
1568420460000 10322.15000000 10327.66000000 10320.76000000 10327.66000000 9.62876400 1568420519999 99413.21989197 134 6.12930400 63280.42830499 0
1568420520000 10327.47000000 10334.99000000 10326.38000000 10331.69000000 14.68739100 1568420579999 151726.87470074 190 10.93051600 112918.34635977 0
1568420580000 10331.69000000 10335.91000000 10331.19000000 10334.05000000 8.18048900 1568420639999 84532.48574405 79 6.66455600 68867.95733717 0
1568420640000 10334.05000000 10336.40000000 10332.51000000 10332.94000000 15.02913600 1568420699999 155322.26713558 95 8.42966700 87119.95583601 0
1568420700000 10333.23000000 10335.79000000 10328.75000000 10330.15000000 14.24556900 1568420759999 147180.84402762 162 9.35231100 96624.09550702 0
1568420760000 10329.86000000 10332.19000000 10320.71000000 10323.40000000 51.27971500 1568420819999 529495.83404209 136 2.61250400 26983.70692733 0
1568420820000 10323.39000000 10325.59000000 10320.00000000 10321.81000000 6.91492000 1568420879999 71374.72532501 119 4.45801800 46016.14166249 0
1568420880000 10321.81000000 10326.27000000 10320.35000000 10322.36000000 9.45957600 1568420939999 97653.41287181 133 6.84762900 70689.32463515 0
